,JacSim,CosSim,LevDis,RMSE,MAE,NumRec
0,0.0,0.0,1.0,4.845625,4.845625,1
1,0.07072916666666663,0.10609374999999999,1.905625,5.292694345001421,4.59453125,2
2,0.14309375000000002,0.2227083333333334,2.7728125,5.235411705445997,4.296562500000002,3
3,0.2222321428571429,0.338671875,3.623125,5.3322597849997635,4.23203125,4
4,0.29115823412698405,0.4296875,4.4815625,5.374591200020472,4.206250000000002,5
5,0.3523570075757575,0.5053125000000003,5.3471875,5.483417033820256,4.261927083333334,6
6,0.40519552496115,0.5639732142857143,6.2071875,5.562849227587557,4.322321428571429,7
7,0.44975011100011086,0.609765625,7.09,5.63638857749506,4.3867578125,8
8,0.4880928134365635,0.6468402777777778,7.953125,5.6937706540685955,4.435729166666666,9
9,0.5241768668423079,0.6793749999999996,8.804375,5.787543443328527,4.50903125,10
10,0.5543873321891175,0.7056250000000003,9.6671875,5.866563845675841,4.581704545454545,11
11,0.5816325599065536,0.7283072916666663,10.538125,5.954912293276461,4.665026041666665,12
12,0.5974990121596883,0.7422596153846154,11.4140625,6.034316185097448,4.742211538461538,13
13,0.609252155357757,0.7527008928571429,12.2953125,6.103190306848866,4.810558035714285,14
