,JacSim,CosSim,LevDis,RMSE,MAE,NumRec
0,0.0,0.0,1.0,7.6959375,4.9434375,1
1,0.0655208333333333,0.09828124999999999,1.8984375,8.531881222936958,4.670625,2
2,0.11781249999999999,0.1859375,2.8025,8.677461164445035,4.376770833333333,3
3,0.16688690476190476,0.263515625,3.7071875,8.777505676062423,4.28453125,4
4,0.21271081349206353,0.3306875,4.61375,8.781246913900526,4.264875,5
5,0.25137675865800874,0.38468750000000007,5.520625,8.810614891782174,4.292604166666666,6
6,0.2873013427544678,0.4316071428571428,6.4271875,8.807424395699941,4.3521874999999985,7
7,0.31912270368520373,0.47078124999999993,7.3328125,8.785934656079801,4.416875,8
8,0.3497223658694246,0.5063888888888889,8.2359375,8.76090565207508,4.486111111111111,9
9,0.37920071793209376,0.5393750000000002,9.1384375,8.734685218077807,4.5609375,10
10,0.4070678381592178,0.569090909090909,10.0421875,8.70886682869863,4.633380681818182,11
11,0.4308774088076524,0.5937760416666668,10.9596875,8.687118998238619,4.713802083333332,12
12,0.4536689791197581,0.6165144230769231,11.8678125,8.676453211616952,4.79283653846154,13
13,0.4753917791923476,0.63765625,12.7803125,8.6611602659171,4.866183035714285,14
